year,median,min,max,p10,p90
1950,18.676,17.051,19.564,18.070,19.243
1951,18.740,17.481,19.887,17.867,19.387
1952,18.333,16.972,19.739,17.695,19.620
1953,18.426,17.108,19.699,17.622,19.368
1954,18.089,17.436,19.488,17.516,18.942
1955,18.243,16.922,19.080,17.485,18.672
1956,18.414,17.021,19.213,17.496,19.028
1957,18.479,17.515,19.784,17.956,19.300
1958,18.599,16.735,19.707,17.551,19.237
1959,18.236,16.913,18.948,17.381,18.742
1960,18.976,17.431,19.741,17.628,19.661
1961,18.387,16.620,20.607,17.462,19.105
1962,18.390,17.455,19.686,17.620,19.260
1963,18.143,16.607,19.076,17.228,18.693
1964,18.037,15.601,19.693,17.128,19.106
1965,18.019,16.450,19.352,16.875,19.004
1966,18.516,17.327,19.319,17.664,19.047
1967,18.271,17.666,19.751,17.811,19.151
1968,18.187,16.796,19.806,17.316,18.775
1969,18.082,16.709,20.277,17.369,19.160
1970,18.092,17.277,19.634,17.422,18.912
1971,18.135,17.434,19.107,17.618,18.944
1972,18.457,17.948,19.336,18.070,19.285
1973,18.749,17.627,19.695,18.075,19.264
1974,18.258,16.901,20.395,17.851,19.203
1975,18.358,17.075,19.962,17.309,19.078
1976,18.042,16.981,19.676,17.150,19.383
1977,18.352,16.679,19.101,17.396,19.061
1978,18.501,17.594,19.685,17.982,19.008
1979,18.995,16.592,19.792,18.095,19.560
1980,18.649,17.558,20.328,17.817,19.299
1981,18.817,17.778,20.950,18.208,19.784
1982,18.324,17.192,19.954,17.730,19.454
1983,17.968,16.929,19.282,17.464,18.703
1984,18.471,17.439,20.018,17.502,19.414
1985,18.549,17.546,19.563,17.648,19.214
1986,19.068,17.294,19.825,18.032,19.613
1987,18.941,17.149,19.941,17.617,19.426
1988,18.684,17.426,19.777,17.783,19.127
1989,18.859,17.404,19.856,18.185,19.623
1990,18.548,17.288,20.105,17.609,19.518
1991,19.214,17.645,20.589,18.181,20.194
1992,17.895,16.802,20.206,17.271,19.154
1993,18.565,17.344,19.288,17.579,19.077
1994,19.053,17.566,20.027,18.132,19.599
1995,18.664,17.876,20.498,18.017,19.748
1996,18.852,17.710,21.032,18.236,20.125
1997,18.998,17.645,20.123,18.166,20.044
1998,18.935,18.230,20.318,18.322,19.951
1999,19.516,18.210,20.013,18.318,19.891
2000,19.078,18.391,20.299,18.468,20.157
2001,18.875,18.126,20.321,18.402,19.478
2002,19.049,18.192,20.293,18.524,20.014
2003,19.257,18.087,20.826,18.374,20.054
2004,18.933,17.511,20.377,18.163,19.932
2005,19.229,17.987,21.356,18.529,20.181
