year,median,min,max,p10,p90
1950,2617.279,2274.478,3022.198,2328.318,2804.662
1951,2594.503,2262.558,3046.331,2411.005,2861.117
1952,2605.980,2247.343,3094.458,2349.832,2843.321
1953,2664.579,2278.320,3011.749,2445.491,2918.518
1954,2680.360,2350.394,3042.894,2444.477,2855.198
1955,2721.864,2380.292,3114.472,2507.602,2898.631
1956,2686.823,2363.550,3056.766,2376.942,2884.878
1957,2624.341,2276.918,3028.117,2420.856,2858.028
1958,2607.014,2233.579,3133.422,2338.867,2827.053
1959,2653.661,2395.408,3169.081,2496.619,2924.456
1960,2484.846,2300.084,2954.037,2313.423,2859.816
1961,2672.918,1971.510,3174.175,2456.365,2962.450
1962,2696.383,2300.582,2938.174,2405.529,2904.450
1963,2696.124,2395.179,3212.366,2420.123,2950.141
1964,2774.211,2226.973,3460.001,2343.490,2994.554
1965,2707.697,2511.218,3198.885,2540.619,3082.722
1966,2625.019,2232.250,3094.530,2441.608,2967.498
1967,2681.082,2258.739,2946.865,2375.023,2837.028
1968,2722.350,2317.467,3190.002,2526.429,2945.615
1969,2738.452,2072.623,3083.628,2452.388,2878.598
1970,2715.661,2227.034,2927.620,2448.010,2862.091
1971,2734.638,2321.164,2965.440,2475.989,2893.064
1972,2622.196,2300.206,2819.189,2397.416,2733.631
1973,2558.340,2216.435,2991.319,2398.224,2842.675
1974,2691.781,1995.931,3111.575,2335.755,2825.624
1975,2667.230,2184.581,3089.294,2288.513,2981.123
1976,2710.487,2091.682,3075.014,2234.427,2936.503
1977,2643.620,2343.889,3204.409,2427.268,2918.990
1978,2594.607,2333.675,2921.855,2399.889,2705.246
1979,2579.780,2180.417,3190.638,2217.143,2696.641
1980,2613.029,2196.994,2967.109,2406.886,2819.827
1981,2523.268,1911.267,2892.717,2243.262,2743.459
1982,2643.850,2174.693,2914.718,2243.503,2854.282
1983,2689.974,2306.646,2957.304,2455.021,2859.106
1984,2635.036,2230.371,2947.340,2277.219,2859.172
1985,2600.721,2239.170,2962.214,2425.126,2749.424
1986,2476.720,2158.710,2988.074,2265.374,2743.081
1987,2512.428,2283.713,3012.079,2344.044,2825.551
1988,2578.263,2359.892,3011.129,2425.102,2881.138
1989,2463.727,2284.548,3006.855,2312.724,2748.376
1990,2571.359,2095.137,2926.122,2212.314,2874.815
1991,2416.794,1947.876,2923.567,2104.404,2649.877
1992,2778.602,2172.950,3048.655,2439.012,2996.124
1993,2565.391,2359.379,2971.421,2457.352,2871.494
1994,2545.471,2192.245,2948.773,2261.954,2802.835
1995,2575.594,2175.954,2807.628,2335.065,2752.289
1996,2495.080,1990.306,2914.914,2263.772,2728.728
1997,2508.635,2142.196,2740.166,2196.818,2674.828
1998,2481.000,2144.179,2766.884,2245.207,2650.281
1999,2352.717,2215.690,2731.257,2249.520,2690.736
2000,2484.909,2104.734,2839.141,2238.385,2698.655
2001,2545.646,2110.715,2771.338,2299.681,2701.932
2002,2452.741,2070.058,2765.833,2225.108,2663.672
2003,2484.880,1922.509,2814.571,2155.955,2710.737
2004,2513.128,2104.942,3002.879,2271.206,2748.393
