month,mean30,max,median,min,p10,p90
1,2.902,9.200,3.099,0.599,1.628,5.137
2,3.571,7.135,3.470,0.524,1.545,5.667
3,4.013,8.690,3.708,0.992,2.121,6.247
4,3.278,7.394,3.354,0.445,1.658,5.223
5,3.832,8.460,3.066,0.948,1.886,5.597
6,3.651,8.190,3.814,1.049,1.882,6.357
7,3.670,7.908,3.751,1.050,2.085,5.517
8,3.896,8.709,3.418,0.689,1.665,7.017
9,3.439,18.372,2.919,0.261,1.418,6.453
10,3.105,8.069,2.733,0.063,0.740,5.206
11,3.130,7.203,2.893,0.945,1.436,4.529
12,2.859,6.747,3.072,0.116,1.291,4.590
