month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,2.129,1.702,0.981,1.099,2.043,2.359,1.818,0.940,1.386,2.151,3.157,2.340,1.472,1.697,2.717,3.685,2.708,1.699,2.130,3.489,3.966,2.754,1.664,2.014,3.763,5.595,4.141,2.726,3.229,5.020
4,5.059,4.479,3.704,4.073,4.867,5.147,4.511,3.856,4.084,4.940,6.177,5.053,4.044,4.374,5.636,6.366,5.302,4.422,4.777,6.204,6.612,5.377,4.551,4.766,6.369,7.831,6.520,5.437,5.691,7.579
7,11.008,10.230,9.440,9.801,10.554,11.097,10.306,9.579,9.918,10.780,12.154,10.930,9.846,10.130,11.796,13.038,11.660,10.258,10.570,12.473,12.941,11.347,10.212,10.552,12.595,15.067,13.259,11.656,11.899,14.642
10,6.661,6.195,5.381,5.857,6.587,6.780,6.254,5.411,5.738,6.606,7.520,7.008,5.667,6.144,7.384,8.518,7.552,6.018,6.551,8.010,8.311,7.304,6.001,6.547,8.176,10.475,8.954,7.277,7.721,10.011
