month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,10.809,9.363,9.035,9.047,10.225,10.299,9.410,8.862,8.913,10.059,10.598,9.885,8.930,9.147,10.382,10.482,9.908,9.097,9.307,10.304,10.956,9.880,8.851,8.885,10.479,11.500,10.136,8.645,9.389,11.171
4,4.324,3.980,3.581,3.770,4.231,4.348,3.969,3.535,3.696,4.288,4.523,3.977,3.544,3.705,4.279,4.836,4.148,3.575,3.875,4.476,4.498,3.959,3.503,3.628,4.452,4.902,4.109,3.563,3.734,4.653
7,0.713,0.590,0.393,0.454,0.645,0.708,0.538,0.398,0.420,0.667,0.752,0.543,0.395,0.446,0.644,0.647,0.484,0.376,0.391,0.591,0.785,0.523,0.281,0.433,0.615,0.693,0.485,0.290,0.350,0.603
10,5.678,4.839,4.096,4.442,5.389,5.502,4.862,4.173,4.494,5.100,5.702,4.926,4.208,4.404,5.307,5.626,4.705,4.108,4.229,5.355,5.592,4.840,4.311,4.365,5.301,5.839,4.778,3.669,4.358,5.446
