month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,9.323,9.013,8.375,8.419,9.248,9.508,9.017,8.515,8.686,9.489,10.224,9.615,8.803,9.239,9.977,10.663,9.976,9.000,9.287,10.585,10.984,10.201,9.164,9.421,10.763,12.526,11.361,10.062,10.398,12.030
4,16.739,16.124,15.211,15.555,16.456,16.876,16.230,15.205,15.389,16.498,17.821,16.717,15.275,16.150,17.292,18.020,16.759,15.854,16.115,17.820,18.330,17.147,15.742,16.459,18.120,19.383,18.132,16.359,17.322,19.213
7,26.808,25.726,24.866,25.126,26.071,26.921,25.876,25.064,25.471,26.307,28.221,26.520,25.469,25.980,27.444,29.135,27.439,25.711,26.518,28.025,29.121,27.095,25.851,26.531,28.436,31.429,29.222,27.066,28.048,30.144
10,18.606,18.183,17.284,17.648,18.482,18.470,18.157,17.740,17.838,18.405,19.485,18.730,17.745,18.325,19.186,20.295,19.438,18.076,18.846,19.884,20.184,19.178,18.151,18.770,19.921,22.078,20.617,19.171,20.017,21.684
