month,mean30,max,median,min,p10,p90
1,0.201,2.572,0.323,-2.010,-0.988,1.825
4,3.202,5.669,3.389,1.322,2.236,4.512
7,9.068,11.034,9.141,7.899,8.422,9.964
10,4.985,6.948,5.013,2.986,3.805,5.937
