month,mean30,max,median,min,p10,p90
1,7.886,9.658,7.960,5.352,6.559,9.222
4,14.862,18.422,15.058,12.328,13.838,16.327
7,24.367,27.542,24.582,20.956,22.789,26.069
10,16.878,19.291,16.910,14.508,15.913,18.240
