month,mean30,max,median,min,p10,p90
1,8.897,17.160,9.125,3.418,5.910,12.913
4,4.129,6.771,3.886,1.829,2.675,5.513
7,0.763,1.659,0.646,0.112,0.363,1.169
10,4.805,9.481,4.829,1.009,2.661,6.857
