month,mean30,max,median,min,p10,p90
1,9.096,21.378,10.429,0.548,3.445,14.586
2,7.539,19.808,6.663,1.160,3.002,13.246
3,6.642,13.370,6.312,0.970,3.275,9.285
4,3.432,7.973,3.093,0.822,1.600,5.889
5,2.291,5.467,1.992,0.121,0.825,4.133
6,1.270,3.613,1.228,0.014,0.386,2.377
7,0.314,1.500,0.201,0.000,0.009,0.719
8,0.723,3.530,0.335,0.000,0.018,1.553
9,1.545,4.434,1.250,0.001,0.297,2.988
10,3.976,12.982,4.078,0.391,1.273,7.071
11,8.921,21.112,7.999,1.274,3.279,13.886
12,9.924,23.900,9.718,2.438,4.566,15.650
