month,mean30,max,median,min,p10,p90
1,6.966,10.105,7.230,2.038,5.111,8.854
2,9.752,13.432,9.672,5.176,7.914,11.813
3,11.983,15.848,11.498,9.155,10.266,14.174
4,14.544,18.437,14.623,10.951,13.046,16.876
5,18.050,22.757,18.822,14.535,16.388,20.099
6,21.883,25.250,21.687,17.522,19.615,23.978
7,25.403,29.305,26.018,21.674,22.812,28.072
8,25.735,30.719,25.870,22.276,23.828,27.805
9,22.927,27.266,23.476,19.784,21.260,25.398
10,17.176,21.011,16.935,14.305,15.205,18.697
11,10.522,13.542,10.855,6.379,8.919,12.099
12,7.088,10.721,7.210,4.035,5.472,8.677
