month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,-2.164,-2.936,-4.096,-3.654,-2.280,-1.685,-2.837,-3.809,-3.533,-2.288,-0.998,-2.213,-3.410,-3.319,-1.595,-0.807,-1.875,-2.659,-2.528,-0.956,-0.664,-1.993,-3.189,-2.941,-1.232,1.066,-0.427,-2.043,-1.581,0.493
2,-0.549,-2.047,-3.144,-2.607,-1.353,-0.359,-2.030,-2.749,-2.502,-1.190,-0.116,-1.599,-2.261,-2.008,-0.581,0.371,-0.989,-1.912,-1.666,-0.084,0.633,-1.027,-2.003,-1.538,0.401,2.019,0.334,-1.871,-0.477,0.912
3,2.149,1.375,0.362,1.008,1.918,2.066,1.231,0.164,0.668,2.035,3.130,2.161,0.810,1.500,2.445,3.927,2.509,1.133,1.913,3.253,3.879,2.470,1.225,1.752,3.529,5.319,3.510,1.261,3.089,4.762
4,6.894,6.049,5.051,5.307,6.599,6.997,5.976,5.537,5.600,6.831,7.849,6.745,5.811,5.832,7.379,8.488,7.263,5.877,6.439,8.238,8.489,7.305,6.090,6.390,8.189,10.163,8.622,7.064,7.546,9.882
5,11.127,10.528,10.143,10.248,10.941,11.178,10.836,9.990,10.336,11.096,12.037,11.471,10.322,10.630,11.956,12.509,12.113,10.944,11.175,12.457,12.656,11.976,10.671,10.838,12.526,14.729,13.566,11.966,12.346,14.150
6,15.301,14.828,14.006,14.175,15.171,15.395,14.926,14.108,14.268,15.239,16.169,15.515,14.125,14.838,15.985,16.976,16.072,14.601,15.363,16.793,16.711,16.006,14.715,15.290,16.609,19.205,17.526,15.748,16.347,18.463
7,17.672,17.059,16.235,16.688,17.433,17.868,17.226,16.323,16.804,17.681,18.615,17.795,16.451,17.136,18.258,19.446,18.378,16.983,17.705,19.091,19.119,18.224,16.953,17.442,18.885,21.178,20.074,18.212,18.964,20.988
8,17.071,16.560,15.915,16.131,16.983,17.477,16.819,15.763,16.208,17.014,18.141,17.238,16.346,16.633,17.838,19.144,18.109,17.139,17.361,18.947,18.795,17.646,16.730,17.005,18.570,21.151,19.706,18.206,18.694,21.023
9,13.882,13.188,11.971,12.710,13.660,14.396,13.334,12.397,12.450,13.993,14.896,14.028,12.545,13.330,14.519,16.213,14.568,13.491,13.738,15.387,15.450,14.451,13.142,13.695,15.370,18.226,16.428,14.571,14.968,17.311
10,7.651,6.666,5.363,6.000,7.510,7.692,6.932,6.071,6.286,7.377,8.424,7.567,5.718,6.895,8.267,9.196,8.295,6.886,7.250,8.650,9.342,7.941,6.825,6.930,8.877,10.802,10.030,7.807,8.420,10.665
11,2.844,2.067,0.894,1.299,2.799,2.735,1.925,1.199,1.297,2.414,4.210,2.474,1.682,1.942,3.203,3.824,3.037,1.672,2.421,3.760,4.073,2.917,1.777,1.953,3.723,5.693,4.671,2.846,3.437,5.355
12,-0.630,-1.794,-2.481,-2.391,-0.908,-0.301,-1.704,-2.906,-2.508,-0.966,0.476,-0.974,-1.997,-1.737,-0.226,0.810,-0.716,-1.938,-1.709,0.105,0.776,-0.614,-1.933,-1.756,0.459,1.795,0.739,-0.822,-0.583,1.769
