year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,6.172,4.924,7.648,5.392,6.824,6.119,5.223,7.270,5.805,6.980
2007,6.714,5.761,7.617,6.324,7.057,6.492,5.583,7.784,5.849,7.220
2008,6.337,4.955,7.137,5.612,6.996,6.443,5.500,7.818,5.916,7.654
2009,6.156,4.987,7.267,5.639,7.151,6.293,5.043,7.134,5.487,6.892
2010,6.467,5.479,7.731,5.553,7.064,6.661,5.261,7.752,5.531,7.083
2011,6.270,5.334,7.366,5.893,6.967,6.551,5.099,7.217,5.512,6.940
2012,6.306,5.566,8.414,5.747,7.027,6.573,6.090,7.626,6.195,7.126
2013,6.558,5.712,8.077,5.874,7.593,6.615,5.456,8.013,6.230,7.389
2014,6.758,5.441,7.906,5.766,7.609,6.571,5.639,7.945,5.954,7.349
2015,6.661,5.342,7.422,5.896,7.137,6.190,5.186,8.198,5.564,7.083
2016,6.671,5.319,7.589,5.872,7.412,6.455,5.287,7.889,5.504,7.620
2017,6.608,5.851,7.633,6.033,7.140,6.560,5.365,8.324,5.507,7.796
2018,6.567,5.742,7.203,6.033,7.129,6.702,5.505,7.962,5.789,7.261
2019,6.405,5.659,7.169,5.928,6.938,6.809,5.922,7.904,6.181,7.493
2020,6.624,5.205,7.691,6.025,7.436,6.669,4.996,8.072,5.613,7.344
2021,6.661,6.166,8.431,6.349,7.320,6.717,4.751,8.013,6.155,7.588
2022,6.732,5.511,7.812,5.882,7.084,6.579,5.471,7.891,6.031,7.566
2023,6.629,5.371,7.608,5.966,7.178,6.755,5.600,8.362,6.096,7.481
2024,6.874,5.948,7.760,6.209,7.363,6.968,6.069,7.725,6.265,7.466
2025,6.776,5.664,8.227,6.167,7.741,7.169,5.715,7.950,6.074,7.777
2026,7.145,5.868,8.266,6.409,7.384,6.981,5.411,7.751,6.431,7.516
2027,6.987,5.619,8.749,6.281,7.706,6.902,5.741,8.153,6.155,7.547
2028,6.915,5.962,7.803,6.150,7.677,7.015,5.480,8.445,5.966,7.852
2029,6.773,5.363,7.709,6.221,7.482,7.115,5.209,8.478,6.164,7.851
2030,7.142,5.345,8.374,6.208,7.809,7.343,5.657,8.530,6.446,7.890
2031,6.987,5.936,8.441,6.219,7.804,7.285,6.046,8.234,6.338,8.158
2032,7.064,5.621,8.253,6.483,7.794,7.312,5.675,9.025,6.757,7.965
2033,7.375,5.882,8.227,6.316,7.907,7.334,6.420,8.341,6.567,7.969
2034,6.866,5.835,8.622,6.332,7.522,7.238,5.935,8.706,6.489,7.681
2035,6.968,6.070,8.283,6.303,7.802,7.366,6.400,8.699,6.577,7.976
2036,7.563,5.593,8.550,6.424,8.090,7.332,5.735,8.817,6.506,8.174
2037,7.030,5.721,8.126,6.348,7.861,7.470,6.406,8.316,6.624,8.203
2038,7.187,4.884,8.674,6.213,8.056,7.653,6.610,8.553,6.680,8.308
2039,7.396,6.363,8.802,6.842,8.264,7.343,6.428,8.879,6.922,8.033
2040,7.517,6.231,8.966,6.697,8.421,7.553,6.458,8.546,6.503,8.373
2041,7.405,6.427,8.858,6.865,8.180,7.513,5.946,8.865,6.695,8.320
2042,7.417,6.278,8.527,6.408,7.927,7.771,6.112,8.258,7.273,8.239
2043,7.210,6.171,9.413,6.282,8.103,7.946,5.977,8.863,6.812,8.656
2044,7.185,6.658,8.856,6.683,8.175,7.691,6.779,9.510,6.924,8.393
2045,7.644,5.769,8.585,6.209,8.444,7.897,6.184,8.849,7.024,8.358
2046,7.580,6.146,9.479,6.635,8.481,7.758,6.497,9.245,6.920,8.946
2047,7.223,6.273,8.991,6.632,7.933,7.951,6.884,9.134,7.245,8.819
2048,7.444,6.017,8.372,6.828,8.006,8.179,6.470,9.519,7.097,8.611
2049,7.351,6.169,8.819,6.720,8.622,8.237,6.522,9.276,6.751,8.863
2050,7.389,6.493,8.596,6.598,8.245,8.402,6.822,9.597,7.517,9.018
2051,7.492,6.491,8.775,6.897,8.051,7.977,5.764,9.595,7.606,8.872
2052,7.599,5.727,8.538,6.774,8.412,7.904,6.532,9.257,7.314,8.925
2053,7.502,5.360,8.750,6.516,8.239,8.227,7.460,9.178,7.651,8.953
2054,7.868,6.398,9.465,7.057,8.694,8.433,7.089,9.845,7.460,9.295
2055,7.596,6.583,9.012,6.993,8.522,8.412,7.175,9.681,7.529,9.042
2056,8.033,6.409,8.505,6.963,8.336,8.544,7.350,9.928,7.518,9.723
2057,7.847,6.454,8.844,6.867,8.795,8.301,6.654,9.891,7.483,9.067
2058,7.800,6.606,9.053,6.902,8.464,8.534,6.936,9.605,7.635,9.327
2059,8.034,6.169,9.120,6.690,8.468,8.720,7.894,10.074,8.016,9.520
2060,8.092,5.878,9.270,6.594,8.568,8.555,7.000,9.835,7.733,9.826
2061,8.203,6.368,9.346,7.298,8.784,8.577,7.791,10.397,7.991,9.409
2062,8.042,6.334,9.300,7.026,9.066,8.869,6.616,9.775,8.124,9.513
2063,7.914,5.995,9.236,6.845,8.851,8.724,7.555,10.138,7.852,9.640
2064,7.993,6.376,9.363,6.867,8.702,9.056,7.130,10.151,8.026,9.967
2065,7.797,6.672,9.426,7.141,8.895,8.994,6.899,10.319,8.011,10.084
2066,7.878,6.606,8.872,6.841,8.580,9.190,7.231,11.076,8.142,10.230
2067,8.013,6.361,9.272,6.904,8.908,9.153,6.800,10.777,7.577,9.711
2068,7.830,6.010,9.164,6.829,8.556,9.184,8.058,10.181,8.251,9.914
2069,8.331,6.432,9.077,7.204,8.874,9.373,7.388,10.528,8.191,10.084
2070,7.807,6.197,9.338,6.944,8.814,9.533,7.438,10.471,8.115,10.005
2071,7.909,6.365,9.471,6.828,8.830,9.189,7.295,10.328,8.069,10.113
