year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,97.659,59.956,117.359,80.317,114.887,97.442,76.093,118.318,85.483,113.882
2007,87.139,71.569,115.024,77.996,99.259,92.242,75.797,118.521,77.338,109.793
2008,92.864,75.392,119.968,82.052,104.740,92.865,59.590,109.401,66.350,108.683
2009,95.936,64.057,115.550,74.372,107.984,99.595,71.029,112.622,78.864,110.695
2010,97.077,78.954,120.294,82.278,116.225,91.021,73.776,120.084,74.980,108.782
2011,96.965,70.965,118.240,85.190,107.079,93.101,76.799,117.127,84.321,112.639
2012,96.639,49.975,116.463,82.688,106.360,88.095,74.983,110.781,78.382,101.109
2013,90.378,54.550,112.097,70.043,105.532,90.305,57.705,111.442,78.454,97.440
2014,92.908,67.363,117.073,70.615,104.362,95.965,61.570,114.449,78.144,111.027
2015,91.578,74.498,116.511,77.927,107.188,101.386,67.094,126.322,78.043,117.681
2016,88.274,65.155,116.582,76.017,111.592,96.591,68.926,114.602,79.956,114.028
2017,93.928,63.999,114.194,76.513,101.934,98.655,49.238,122.259,76.143,110.128
2018,93.392,79.838,110.740,83.769,100.036,93.072,68.792,113.449,77.001,104.486
2019,97.056,73.606,113.999,80.456,109.159,91.493,68.938,114.482,75.444,102.728
2020,92.746,73.400,122.794,77.874,101.984,93.427,61.945,121.512,80.882,112.663
2021,94.800,57.170,104.096,76.402,102.628,89.912,63.173,124.203,73.624,106.948
2022,88.969,68.529,110.382,80.904,109.995,93.573,63.382,120.694,67.626,108.239
2023,90.684,74.650,114.380,78.220,104.588,90.408,66.109,118.836,73.694,106.707
2024,90.067,71.000,109.339,75.371,99.326,89.674,64.834,118.826,74.846,101.990
2025,91.441,67.685,117.442,70.454,101.425,86.136,62.815,107.499,67.436,94.137
2026,85.976,62.444,108.989,76.937,98.607,86.196,61.621,107.102,72.312,104.412
2027,90.576,60.869,113.924,73.349,100.929,89.460,63.024,124.286,78.787,103.572
2028,87.410,62.972,108.127,73.086,103.696,89.998,62.030,126.108,72.032,109.498
2029,96.448,71.214,111.195,79.124,105.959,88.914,56.495,113.353,68.304,107.469
2030,84.092,59.506,112.637,63.949,107.626,81.072,60.104,107.723,65.436,94.317
2031,87.857,60.709,104.761,67.725,101.438,82.915,64.702,111.278,69.192,106.622
2032,86.210,63.785,122.364,73.501,103.750,85.863,61.170,106.823,62.023,96.653
2033,84.565,63.802,116.546,67.574,106.900,83.572,69.572,108.419,75.238,94.455
2034,92.596,56.574,108.363,80.696,103.074,87.337,55.140,110.005,74.615,97.340
2035,84.229,62.887,107.546,71.570,104.539,87.653,65.088,106.296,73.553,100.071
2036,79.214,49.689,109.124,66.302,102.345,86.861,52.018,104.747,66.383,94.906
2037,89.175,67.235,105.934,69.018,100.848,84.516,63.806,115.370,74.094,100.149
2038,89.277,61.547,130.349,66.705,102.089,78.704,52.507,101.794,69.487,93.302
2039,82.912,50.657,112.101,62.526,97.613,83.318,59.427,104.424,67.719,96.000
2040,85.628,51.258,103.122,59.339,96.363,82.022,68.994,109.408,71.867,104.269
2041,81.277,52.933,102.681,67.754,96.132,83.890,58.099,102.934,64.229,99.560
2042,85.804,64.295,104.142,70.785,98.558,75.160,65.164,112.842,67.643,93.430
2043,85.062,48.055,107.712,67.585,104.734,77.053,58.303,103.905,62.102,95.821
2044,84.526,45.286,110.313,63.714,96.870,79.669,38.287,101.186,62.626,92.954
2045,81.225,59.801,110.501,61.338,104.937,80.429,57.238,110.484,60.235,94.715
2046,80.618,50.221,101.839,65.367,93.592,78.745,55.047,115.697,65.530,99.339
2047,86.033,55.506,110.038,73.994,102.782,73.500,54.142,99.591,60.031,92.002
2048,86.055,64.739,114.085,73.052,97.350,78.281,45.020,102.307,60.598,92.318
2049,83.008,48.632,107.405,68.488,95.221,78.233,55.024,110.326,61.281,102.132
2050,84.360,61.987,110.263,70.726,99.853,72.803,47.797,88.554,49.001,85.531
2051,79.383,58.056,106.025,68.269,95.698,83.342,46.174,116.095,59.071,91.209
2052,80.013,58.874,122.443,67.510,102.007,73.793,44.786,103.138,61.092,96.541
2053,84.133,57.167,113.944,71.053,107.504,71.477,49.963,93.812,63.231,89.633
2054,73.554,48.662,94.624,54.855,91.284,74.643,34.282,98.315,57.911,95.241
2055,82.921,48.440,103.772,69.956,95.122,75.926,47.558,95.139,57.494,86.990
2056,78.462,51.126,97.270,67.851,93.671,76.334,50.313,91.709,52.770,87.396
2057,76.807,55.801,100.515,63.307,97.357,76.230,40.251,113.824,60.254,97.139
2058,84.585,56.951,106.754,67.136,96.568,72.588,41.124,93.881,58.239,89.637
2059,77.248,53.428,117.323,61.606,97.743,67.690,39.367,92.166,53.883,84.781
2060,76.496,56.177,115.189,62.325,94.058,71.870,48.686,93.240,54.100,88.856
2061,75.754,51.517,95.433,55.829,87.737,72.079,36.002,99.165,49.776,87.387
2062,77.252,51.781,105.917,57.471,92.638,72.740,51.756,104.395,58.152,82.697
2063,78.104,51.807,101.981,59.508,92.851,70.422,42.516,92.463,57.352,86.695
2064,76.605,60.135,111.615,64.190,100.277,65.037,42.196,99.016,47.373,88.407
2065,78.892,39.173,94.601,53.531,92.179,65.922,43.124,96.330,55.710,87.864
2066,76.777,60.937,98.806,64.171,94.574,61.652,35.188,100.377,42.961,78.962
2067,82.143,52.196,105.702,56.446,102.131,71.999,44.202,100.076,54.213,83.948
2068,79.851,57.305,109.855,66.833,98.783,66.448,40.548,88.015,46.739,85.935
2069,76.238,49.832,104.611,58.432,87.947,62.705,43.155,95.775,49.866,77.416
2070,79.157,51.536,117.862,66.022,95.883,61.126,39.817,82.180,45.840,74.889
2071,74.956,43.332,101.144,59.228,98.259,63.796,39.059,75.171,54.508,73.422
2072,78.821,60.797,107.501,64.103,98.700,62.824,41.585,95.495,52.456,81.968
2073,76.042,54.371,92.545,59.706,91.341,63.225,28.148,80.041,44.425,75.418
2074,80.282,54.510,101.385,66.347,94.797,61.575,40.954,93.163,45.485,79.361
2075,79.858,51.471,102.326,69.748,96.951,62.165,38.378,95.811,41.161,82.556
2076,79.878,43.647,99.711,64.572,93.956,61.472,36.168,89.398,39.998,72.087
2077,71.668,50.306,96.659,61.301,95.653,55.111,39.008,91.446,45.132,84.545
2078,76.438,47.398,100.170,57.248,91.414,64.903,30.222,92.483,36.537,77.833
