year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,19.090,17.194,20.960,18.028,20.061,19.041,18.037,19.888,18.363,19.692
2007,19.740,18.665,21.060,19.091,20.697,19.572,18.299,20.779,18.715,20.301
2008,19.305,17.669,20.862,18.198,20.008,19.642,17.975,20.949,18.488,20.384
2009,19.124,17.818,20.782,18.527,20.298,19.129,17.763,19.841,18.171,19.712
2010,19.337,18.108,20.193,18.349,20.012,19.492,17.716,21.939,18.363,20.574
2011,19.142,18.259,20.256,18.498,20.047,19.619,17.541,20.963,18.281,20.279
2012,19.278,18.313,21.399,18.519,19.934,19.786,18.631,20.979,18.892,20.499
2013,19.585,18.252,21.364,18.517,20.554,19.842,17.869,21.337,18.729,20.414
2014,19.979,18.391,21.203,18.728,20.711,19.509,18.640,21.111,18.738,20.560
2015,19.655,18.411,20.393,18.600,19.977,19.219,18.138,21.078,18.299,20.230
2016,19.580,18.211,20.865,19.081,20.375,19.771,17.864,20.650,18.359,20.354
2017,19.509,18.617,21.125,18.849,20.315,19.240,17.723,21.534,18.099,20.393
2018,19.522,18.541,20.410,18.585,20.079,19.732,18.300,22.013,18.688,20.502
2019,19.455,17.978,20.574,18.925,20.160,19.767,18.918,20.838,19.224,20.509
2020,19.753,18.611,20.920,18.823,20.407,20.048,18.080,21.270,18.613,20.681
2021,19.698,18.789,21.339,19.059,20.421,19.705,17.940,21.061,18.750,20.733
2022,19.635,18.638,20.668,18.814,20.228,19.601,18.516,21.208,18.684,20.458
2023,19.760,18.427,20.906,18.721,20.439,19.971,18.335,21.620,18.848,20.622
2024,19.833,18.715,20.383,18.882,20.288,19.974,18.798,21.123,19.131,20.788
2025,20.034,18.769,21.438,19.186,20.901,19.954,18.395,21.196,18.829,20.764
2026,20.023,18.811,20.750,19.285,20.647,19.866,18.654,21.127,19.250,20.273
2027,19.999,18.659,21.808,18.965,20.570,19.875,18.540,21.010,18.902,20.621
2028,19.948,18.537,21.045,18.811,20.597,19.902,17.894,21.487,18.526,20.914
2029,19.995,18.252,20.947,18.784,20.754,20.279,18.501,21.505,18.881,20.859
2030,20.352,18.537,21.617,19.019,21.305,20.389,18.649,21.244,19.699,21.007
2031,19.820,18.527,21.355,18.865,21.009,20.075,18.351,21.725,19.026,21.031
2032,20.048,18.374,21.534,19.254,20.714,20.248,17.948,21.391,18.955,21.008
2033,20.371,18.009,21.029,18.841,20.912,20.216,18.831,21.463,19.503,21.136
2034,20.078,18.919,21.778,19.192,20.639,19.911,18.249,21.873,19.570,20.868
2035,20.097,19.154,21.571,19.515,21.004,20.336,19.075,21.221,19.136,21.043
2036,20.574,18.069,21.839,19.450,21.345,20.548,18.823,22.357,19.374,21.642
2037,20.142,18.426,20.962,19.017,20.628,20.342,18.959,21.259,19.470,21.163
2038,20.394,18.443,22.000,19.439,21.066,20.817,19.020,21.622,19.529,21.359
2039,20.412,19.119,21.515,19.615,21.411,20.313,19.585,22.118,19.783,21.462
2040,20.591,18.728,22.115,19.395,21.778,20.494,18.967,21.527,19.935,21.231
2041,20.742,18.750,22.093,18.983,21.387,20.409,19.131,21.829,19.710,21.564
2042,20.443,19.016,21.758,19.223,21.070,20.768,19.499,21.395,20.267,21.352
2043,20.064,18.953,22.125,19.235,21.805,21.056,19.408,21.762,19.746,21.694
