year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2069,695.832,440.866,776.477,531.242,753.290,896.906,673.079,1191.522,701.663,1039.463
2070,643.284,521.428,802.763,530.185,751.871,882.717,392.605,1081.148,684.505,1051.032
2071,678.115,430.637,839.463,507.359,763.325,891.128,396.186,1151.370,751.133,1048.329
2072,682.718,457.906,889.358,591.910,775.465,918.018,666.962,1166.393,710.616,1112.896
2073,623.880,413.640,841.573,534.280,777.335,961.837,683.821,1256.239,738.948,1122.169
2074,666.700,475.291,806.284,569.153,768.225,923.776,774.292,1194.158,789.258,1130.463
2075,668.695,506.504,845.541,589.466,794.083,946.293,620.267,1279.002,734.397,1075.759
2076,693.259,446.826,870.709,524.866,777.337,964.278,399.044,1189.060,853.093,1099.553
2077,656.345,460.626,865.196,534.587,807.906,1019.217,502.702,1247.370,712.440,1143.559
2078,654.230,447.081,852.210,525.726,781.950,906.598,638.124,1194.908,769.786,1144.896
2079,662.608,492.952,858.181,528.840,765.547,984.766,643.976,1235.262,717.092,1157.549
2080,669.127,478.416,888.092,541.499,841.700,1014.393,708.100,1248.174,781.874,1151.894
2081,681.448,433.741,855.177,487.364,785.774,999.883,688.638,1334.247,700.320,1205.230
2082,711.003,457.499,887.243,583.616,861.418,1012.951,592.713,1229.017,806.333,1188.366
2083,719.950,516.914,960.546,605.233,793.194,1018.699,701.269,1350.252,848.391,1209.141
2084,636.297,514.057,856.475,526.815,799.936,1031.628,507.398,1318.101,774.381,1177.238
2085,665.531,420.092,803.658,554.484,774.441,1082.434,656.168,1328.757,897.525,1277.928
2086,661.719,477.427,802.272,555.741,790.707,1055.631,751.139,1368.442,806.037,1226.496
2087,669.271,397.018,955.406,570.523,770.252,1137.177,720.462,1345.196,809.424,1310.458
2088,639.895,451.553,829.923,517.724,779.472,1076.405,701.577,1496.246,935.147,1342.295
2089,640.715,417.180,846.940,495.157,777.376,1115.593,661.894,1314.298,797.704,1311.956
2090,671.377,420.405,822.590,487.320,771.193,1156.841,760.476,1486.110,805.363,1373.074
2091,641.078,417.945,883.934,499.781,845.613,1129.305,799.523,1406.973,882.539,1318.899
2092,666.282,479.529,924.108,588.019,809.999,1151.623,670.777,1457.495,894.651,1339.966
2093,717.694,564.663,840.816,567.683,817.464,1146.625,778.351,1433.240,871.083,1401.563
2094,651.042,447.281,865.966,511.138,797.448,1195.829,691.029,1487.878,938.815,1408.217
2095,705.415,436.899,837.036,554.649,779.997,1207.145,601.151,1452.032,995.747,1382.905
2096,692.534,377.294,904.335,525.213,792.574,1189.030,805.876,1480.448,899.022,1449.067
2097,698.580,456.636,955.879,569.918,839.182,1189.860,752.804,1597.137,816.527,1450.248
2098,705.265,458.707,917.204,532.164,812.776,1209.114,695.668,1488.971,923.121,1401.594
2099,669.146,393.012,918.341,551.097,812.771,1218.595,936.823,1558.584,1062.777,1410.951
