month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,11.308,10.364,7.499,9.109,11.125,11.529,10.105,8.585,9.055,11.127,12.126,10.396,8.619,9.605,11.371,11.199,10.192,9.202,9.579,10.933,11.583,10.288,9.521,9.650,10.963,12.968,10.518,8.552,9.675,12.435
2,9.791,8.318,6.693,7.087,9.216,9.334,8.351,6.934,7.811,9.281,9.828,8.383,6.424,7.267,9.375,10.065,9.044,7.289,7.765,9.810,10.848,8.755,7.101,7.694,10.348,11.018,9.585,6.756,7.904,10.282
3,6.909,5.908,5.147,5.487,6.482,7.005,6.077,4.913,5.284,6.513,7.171,5.960,5.060,5.242,6.700,7.443,6.324,4.894,5.480,7.121,7.014,6.212,5.132,5.501,6.815,7.847,6.251,5.256,5.578,7.284
4,4.502,3.800,3.314,3.467,4.427,4.593,3.917,3.265,3.408,4.300,4.580,3.876,3.140,3.448,4.387,5.056,4.125,3.016,3.762,4.719,4.724,3.924,2.940,3.305,4.358,4.891,3.896,3.415,3.471,4.648
5,2.560,2.158,1.647,1.808,2.384,2.526,2.123,1.707,1.737,2.418,2.757,2.088,1.606,1.765,2.342,2.765,2.120,1.378,1.915,2.439,2.515,2.046,1.661,1.733,2.305,2.670,2.054,1.743,1.833,2.379
6,1.466,1.157,0.703,0.969,1.352,1.420,1.035,0.643,0.775,1.289,1.848,1.115,0.830,0.921,1.282,1.261,1.033,0.733,0.789,1.255,1.634,1.027,0.541,0.894,1.282,1.513,0.936,0.562,0.792,1.279
7,0.390,0.249,0.106,0.179,0.333,0.410,0.247,0.100,0.147,0.359,0.356,0.223,0.108,0.122,0.304,0.401,0.209,0.067,0.104,0.319,0.355,0.224,0.117,0.146,0.295,0.383,0.211,0.062,0.118,0.283
8,0.439,0.336,0.176,0.214,0.397,0.619,0.298,0.180,0.203,0.429,0.446,0.302,0.200,0.224,0.393,0.449,0.280,0.120,0.189,0.391,0.483,0.287,0.144,0.185,0.471,0.580,0.237,0.122,0.148,0.404
9,2.164,1.344,0.725,1.032,1.725,1.925,1.400,0.859,1.134,1.725,1.902,1.325,0.922,0.981,1.686,1.636,1.205,0.846,1.095,1.563,1.977,1.375,0.947,1.117,1.694,1.668,1.195,0.827,0.947,1.558
10,4.494,3.840,3.258,3.397,4.426,4.881,4.024,2.860,3.242,4.499,5.312,4.050,3.431,3.621,4.384,4.799,4.003,3.072,3.338,4.690,5.016,3.954,3.336,3.348,4.532,5.043,3.980,2.941,3.319,4.653
11,10.416,9.480,8.053,8.505,10.385,10.258,9.173,7.967,8.303,9.770,11.049,9.189,7.927,8.248,10.458,11.250,8.784,7.120,7.855,10.137,11.131,9.560,7.641,8.115,10.203,11.992,9.227,6.517,8.093,10.504
12,11.899,10.082,9.052,9.333,11.493,10.700,9.978,8.683,9.180,10.565,11.642,10.555,9.139,9.390,11.211,11.704,10.354,8.626,9.819,11.508,12.077,10.148,8.629,8.652,11.302,12.606,10.679,8.011,9.750,11.482
