year,cooling_degree_day
1950,89.35544
1951,62.77595
1952,65.94634
1953,35.205643
1954,4.3456764
1955,35.14264
1956,66.98927
1957,22.08861
1958,151.62912
1959,60.833103
1960,63.362503
1961,101.514915
1962,33.280685
1963,55.86672
1964,50.395763
1965,72.15133
1966,59.005524
1967,149.38472
1968,59.62844
1969,49.515717
1970,68.62169
1971,68.76159
1972,122.34674
1973,66.208
1974,95.474915
1975,47.42504
1976,38.622684
1977,84.99123
1978,83.940445
1979,59.887764
1980,37.95017
1981,92.378044
1982,64.3192
1983,32.393394
1984,43.457565
1985,79.91725
1986,87.660355
1987,89.76807
1988,78.89985
1989,42.924103
1990,111.07682
1991,86.14573
1992,118.96793
1993,53.070175
1994,73.312515
1995,93.0138
1996,110.482574
1997,71.48545
1998,113.30734
1999,63.577827
2000,67.17366
2001,49.290752
2002,89.58042
2003,150.80096
2004,132.79329
2005,101.496445
2006,133.83627
