year,days_tmin_blw
1950,53.481937
1951,63.07449
1952,82.8214
1953,35.883156
1954,87.29602
1955,84.80985
1956,78.592285
1957,72.684494
1958,40.77081
1959,61.7786
1960,65.84779
1961,50.97189
1962,59.439476
1963,66.745094
1964,80.04346
1965,64.02345
1966,60.89894
1967,62.890266
1968,57.08002
1969,80.02332
1970,74.93304
1971,85.1422
1972,70.50945
1973,61.887897
1974,56.613678
1975,76.84001
1976,84.37739
1977,71.529144
1978,67.9085
1979,58.30504
1980,62.43897
1981,47.36616
1982,87.443924
1983,46.393196
1984,55.778618
1985,121.2311
1986,50.588066
1987,59.761875
1988,66.0204
1989,69.635345
1990,67.67006
1991,64.75342
1992,38.515396
1993,77.65381
1994,60.61779
1995,39.41379
1996,53.007236
1997,67.558556
1998,42.065647
1999,46.371098
2000,68.354195
2001,59.062695
2002,62.394875
2003,49.36221
2004,38.348495
2005,70.89877
2006,67.42335
