year,heating_degree_day
1950,3027.4985
1951,2934.6338
1952,3095.1074
1953,2903.3894
1954,3188.394
1955,3427.2322
1956,3224.9668
1957,3040.6768
1958,2551.3716
1959,2985.567
1960,3109.7185
1961,2923.9326
1962,3103.7788
1963,3025.4902
1964,3219.367
1965,2907.2751
1966,2864.6636
1967,2817.5059
1968,2978.9778
1969,3066.5085
1970,3043.7502
1971,3331.8472
1972,3125.8386
1973,3043.4106
1974,3009.2563
1975,3088.1455
1976,3127.5166
1977,3042.369
1978,2999.1067
1979,2926.0876
1980,3026.1155
1981,2929.736
1982,3184.9214
1983,2958.4194
1984,3117.2173
1985,3410.2444
1986,2900.0754
1987,2827.0007
1988,2986.18
1989,3029.756
1990,3018.6643
1991,3001.327
1992,2587.6772
1993,3075.772
1994,2863.4966
1995,2636.722
1996,3011.26
1997,2877.93
1998,2811.856
1999,2950.6077
2000,3023.0486
2001,2955.5977
2002,2900.9485
2003,2689.56
2004,2712.0598
2005,2888.5042
2006,2886.7693
