year,tasmax
1949,15.922516
1950,15.825798
1951,16.530977
1952,16.355137
1953,15.734314
1954,15.259934
1955,14.486065
1956,15.335413
1957,15.781755
1958,17.603338
1959,15.96743
1960,15.863587
1961,16.34251
1962,15.66005
1963,15.772733
1964,15.386134
1965,16.49165
1966,16.703878
1967,17.229492
1968,16.095772
1969,15.974159
1970,16.500282
1971,15.101916
1972,16.243078
1973,16.201916
1974,16.36543
1975,15.6784525
1976,15.905327
1977,16.1814
1978,15.912178
1979,16.19175
1980,15.998421
1981,16.242369
1982,15.5527935
1983,15.585935
1984,15.600772
1985,15.347754
1986,16.3165
1987,16.76376
1988,16.084372
1989,15.719101
1990,16.063328
1991,16.122974
1992,17.687263
1993,15.493023
1994,16.567776
1995,16.820597
1996,16.087835
1997,16.333527
1998,16.548456
1999,16.070568
2000,16.078989
2001,16.300797
2002,16.674042
2003,17.282759
2004,17.075834
2005,16.747288
2006,17.06734
2007,16.219357
2008,16.039082
2009,16.316515
