year,pr
1949,3.7351732
1950,5.9069505
1951,4.660827
1952,2.9697518
1953,4.9128766
1954,4.228198
1955,4.9072065
1956,4.148321
1957,4.035456
1958,4.4113703
1959,3.837604
1960,4.50156
1961,4.997124
1962,3.8572164
1963,4.266135
1964,5.044519
1965,3.9052217
1966,4.2462754
1967,3.9581864
1968,5.4066443
1969,4.0295653
1970,5.1860433
1971,5.566378
1972,4.8835554
1973,5.447249
1974,5.677537
1975,5.109119
1976,3.3183851
1977,4.5247784
1978,3.6183405
1979,4.5284915
1980,4.673077
1981,5.061482
1982,5.584666
1983,6.163927
1984,5.3411403
1985,3.0993235
1986,4.7487197
1987,4.2318516
1988,4.3256664
1989,3.5137594
1990,4.5943723
1991,3.7858279
1992,3.6924253
1993,3.8429682
1994,4.324732
1995,6.1692977
1996,7.7765636
1997,4.954458
1998,6.5180135
1999,6.35155
2000,3.6871436
2001,3.9288614
2002,4.5609493
2003,4.820745
2004,3.9782305
2005,4.5995755
2006,6.0938554
2007,4.531999
2008,4.279644
2009,4.1937876
