year,tasmin
1949,4.080288
1950,4.7417994
1951,4.3351345
1952,3.8195586
1953,5.2158937
1954,3.959238
1955,3.554263
1956,4.116912
1957,4.3449645
1958,5.9146514
1959,4.607212
1960,4.219568
1961,4.8594894
1962,4.181201
1963,4.6138754
1964,3.9698517
1965,4.6407332
1966,4.590167
1967,4.7806683
1968,4.6516633
1969,4.161059
1970,3.8633795
1971,3.6573486
1972,4.0441074
1973,4.1508207
1974,4.3353086
1975,4.2739177
1976,3.9334202
1977,4.280579
1978,4.7810106
1979,4.7548738
1980,4.352926
1981,4.8767715
1982,4.0145197
1983,5.0125422
1984,4.3032722
1985,3.0700502
1986,4.939883
1987,4.856217
1988,4.7414336
1989,4.580816
1990,4.6710367
1991,4.5321965
1992,5.5322857
1993,4.6116867
1994,4.809818
1995,5.8853188
1996,4.7452044
1997,4.95511
1998,5.3314595
1999,4.7359076
2000,4.473656
2001,4.44066
2002,4.5882807
2003,5.417705
2004,5.550858
2005,4.647282
2006,4.5137515
2007,4.253292
2008,3.4072502
2009,2.60614
