year,days_tmax_abv
1950,1.4737297
1951,2.5245104
1952,1.4975077
1953,0.0
1954,0.0
1955,0.6041573
1956,1.6342839
1957,0.0
1958,2.1340868
1959,2.4988122
1960,2.4246058
1961,3.2678852
1962,0.18655545
1963,0.0
1964,0.0
1965,1.1097742
1966,0.3195139
1967,5.112263
1968,0.53651816
1969,0.23273537
1970,1.1573141
1971,1.7580885
1972,6.269508
1973,0.8527455
1974,0.9078028
1975,0.021081468
1976,0.0
1977,4.2922454
1978,3.6834505
1979,1.785702
1980,0.22246179
1981,4.809706
1982,0.35025483
1983,0.07626669
1984,0.097635515
1985,0.7966569
1986,0.34840313
1987,1.3803182
1988,3.3487556
1989,0.0
1990,2.2707858
1991,0.16797662
1992,4.6597276
1993,0.70193994
1994,1.3390753
1995,0.73200524
1996,3.7506304
1997,0.16547397
1998,2.6675391
1999,0.0083760135
2000,0.097583294
2001,0.08464271
2002,2.2586818
2003,4.0145235
2004,2.747816
2005,0.98492247
2006,5.5222917
