year,median,min,max,p10,p90
1950,15.992,14.536,17.065,15.171,16.768
1951,15.963,14.421,17.075,15.257,16.944
1952,15.627,15.056,17.138,15.290,16.672
1953,15.996,14.855,17.135,15.311,16.500
1954,15.907,15.034,17.816,15.406,16.687
1955,16.083,14.922,17.034,15.231,16.874
1956,16.008,14.967,16.884,15.587,16.480
1957,15.778,15.147,16.536,15.278,16.320
1958,15.775,14.811,16.982,14.839,16.545
1959,16.011,14.993,16.794,15.276,16.591
1960,16.047,14.675,16.701,15.176,16.552
1961,16.014,14.730,16.969,15.282,16.693
1962,16.125,15.470,16.905,15.594,16.650
1963,16.006,15.356,17.782,15.425,16.947
1964,15.558,14.350,16.171,14.979,16.075
1965,15.731,14.520,16.739,15.249,16.393
1966,15.686,14.530,16.132,15.015,16.091
1967,15.837,15.020,17.335,15.147,16.551
1968,15.511,13.895,16.789,14.799,15.985
1969,15.849,14.919,17.143,15.144,16.430
1970,15.901,14.029,17.254,15.254,16.904
1971,15.925,14.421,16.788,15.064,16.552
1972,15.799,14.219,16.596,14.899,16.307
1973,15.951,14.781,16.854,15.276,16.506
1974,15.617,13.855,16.835,14.891,16.578
1975,16.124,14.544,16.753,15.181,16.506
1976,15.920,14.791,17.069,15.206,16.888
1977,16.019,15.670,17.543,15.756,16.834
1978,16.379,14.836,17.071,15.190,16.953
1979,16.092,14.989,17.391,15.464,17.101
1980,16.136,14.602,17.266,15.164,17.018
1981,15.956,14.715,17.037,15.251,16.775
1982,15.890,14.532,16.628,15.216,16.447
1983,15.781,14.780,16.357,15.090,16.224
1984,16.001,14.838,17.079,15.057,16.502
1985,16.117,14.688,16.727,15.290,16.646
1986,16.409,15.272,17.122,15.702,16.942
1987,16.076,15.000,17.456,15.418,16.797
1988,16.390,15.218,17.364,15.349,16.940
1989,16.424,14.871,17.253,15.497,17.144
1990,16.107,15.209,17.139,15.484,16.886
1991,16.438,14.882,17.493,15.534,17.152
1992,16.232,14.883,17.524,15.379,17.273
1993,16.018,14.677,17.300,15.370,16.575
1994,16.048,14.755,16.941,15.629,16.789
1995,16.308,14.200,17.591,15.107,16.813
1996,16.088,15.621,17.670,15.670,16.964
1997,16.374,15.057,17.730,15.500,17.538
1998,16.633,15.052,17.492,15.979,17.316
1999,16.421,15.828,17.197,15.956,16.902
2000,16.435,15.794,18.218,15.933,17.180
2001,16.508,15.894,17.614,16.053,17.149
2002,16.567,16.019,17.992,16.077,17.546
2003,16.701,14.864,17.823,15.629,17.198
2004,16.938,15.349,17.454,15.893,17.326
2005,16.814,14.999,17.821,16.205,17.032
