year,median,min,max,p10,p90
1950,11.529,4.795,23.058,6.704,17.681
1951,12.614,7.310,23.621,8.729,18.495
1952,12.453,4.183,18.660,8.873,18.004
1953,14.380,5.736,21.779,9.696,21.335
1954,14.867,5.839,22.431,7.123,19.901
1955,11.272,7.138,19.575,8.391,17.029
1956,13.047,5.604,20.006,6.545,18.629
1957,15.721,6.580,24.118,9.802,21.170
1958,11.764,5.075,21.900,7.494,20.409
1959,12.491,4.736,25.324,8.352,18.062
1960,15.126,5.559,26.617,10.484,19.805
1961,15.514,7.510,29.216,9.430,22.370
1962,12.595,5.678,24.144,6.856,20.806
1963,13.386,5.305,22.606,7.324,19.496
1964,13.838,8.447,19.422,10.466,16.815
1965,12.503,4.896,20.123,8.127,16.654
1966,12.740,4.836,17.912,7.536,17.064
1967,12.853,6.586,21.273,8.054,17.328
1968,14.775,4.268,21.830,8.148,19.826
1969,14.643,6.743,23.918,8.015,20.257
1970,14.386,4.781,24.096,9.136,16.966
1971,11.897,5.044,20.269,8.319,16.211
1972,14.685,7.684,25.764,10.812,18.049
1973,13.347,7.883,22.472,9.471,17.724
1974,13.603,5.500,20.734,7.058,18.181
1975,14.214,5.892,22.054,10.134,18.109
1976,13.320,6.875,23.835,8.819,19.995
1977,14.426,5.369,22.523,7.949,19.039
1978,12.870,8.064,24.370,9.810,20.084
1979,13.797,6.998,24.282,9.448,20.836
1980,15.733,3.861,20.946,6.441,20.054
1981,15.260,7.864,26.098,10.619,25.627
1982,10.567,5.351,24.042,6.663,19.122
1983,13.618,7.863,22.548,11.000,17.500
1984,12.297,5.789,22.273,8.744,20.522
1985,14.620,6.828,20.080,8.865,16.551
1986,16.448,5.819,30.096,10.348,26.207
1987,12.099,6.485,22.787,7.756,17.582
1988,12.761,8.318,23.374,8.720,19.737
1989,14.639,5.550,23.098,7.942,18.229
1990,13.463,8.396,18.419,9.332,16.572
1991,13.894,8.091,22.584,9.220,18.365
1992,12.556,8.433,21.841,9.404,15.820
1993,12.044,4.883,18.532,9.228,17.301
1994,12.525,8.403,25.369,9.161,18.637
1995,13.285,5.596,23.225,9.745,18.714
1996,13.640,9.588,28.170,9.851,22.307
1997,13.093,8.757,20.909,9.754,18.437
1998,13.625,4.176,19.007,6.476,17.997
1999,14.214,8.399,23.661,9.933,17.908
2000,16.797,6.543,25.622,10.693,22.085
2001,13.116,5.572,21.302,9.298,17.284
2002,14.913,10.580,20.539,11.366,17.880
2003,15.566,7.379,21.937,10.062,20.073
2004,13.389,3.499,22.611,7.758,21.292
