year,median,min,max,p10,p90
1950,4.385,3.200,6.607,3.556,5.618
1951,4.641,3.409,5.801,3.893,5.539
1952,4.658,2.908,5.629,3.749,5.322
1953,4.748,3.196,6.218,3.644,5.815
1954,4.697,2.888,5.496,3.205,5.411
1955,4.366,3.294,5.317,3.702,5.142
1956,4.327,3.394,5.931,3.615,5.105
1957,4.804,3.589,6.311,3.827,5.848
1958,4.626,3.139,5.892,3.195,5.664
1959,4.245,3.292,6.145,3.667,5.599
1960,4.864,3.742,6.477,4.491,5.761
1961,4.920,3.480,6.378,3.885,5.944
1962,4.269,3.023,6.123,3.329,5.742
1963,4.838,2.846,5.686,3.414,5.474
1964,4.839,3.208,5.665,4.135,5.397
1965,4.531,3.501,6.150,3.739,5.304
1966,4.777,3.388,5.354,3.703,5.147
1967,4.557,3.299,5.968,3.573,5.684
1968,4.900,2.814,5.590,3.528,5.497
1969,5.071,3.158,6.446,3.725,5.939
1970,4.713,3.158,6.165,3.896,5.619
1971,4.260,3.145,5.393,3.808,5.259
1972,4.866,3.916,6.046,4.196,5.422
1973,4.460,3.480,6.083,3.874,5.071
1974,4.617,3.071,5.710,3.561,5.389
1975,4.554,4.076,6.090,4.189,5.410
1976,4.737,3.912,6.066,4.070,5.296
1977,4.611,2.878,5.741,3.534,5.525
1978,4.706,3.477,6.112,4.203,5.479
1979,4.672,3.134,6.076,3.678,5.505
1980,4.911,3.166,6.074,3.514,5.854
1981,5.181,3.648,7.120,4.134,6.256
1982,4.276,3.237,6.201,3.417,5.281
1983,4.667,3.474,6.208,4.197,5.617
1984,4.452,2.642,5.668,3.774,5.395
1985,4.479,3.848,5.724,3.966,4.893
1986,5.044,3.141,6.862,3.844,6.418
1987,4.424,2.947,6.362,3.736,5.505
1988,4.244,3.536,6.309,3.719,5.525
1989,4.472,3.373,5.691,3.745,5.536
1990,4.480,3.696,5.683,3.891,5.107
1991,4.802,3.600,5.692,3.801,5.440
1992,4.386,3.660,6.498,3.965,5.170
1993,4.447,3.481,5.674,3.943,4.976
1994,4.303,3.756,6.047,3.915,5.341
1995,4.376,2.783,5.714,3.624,5.390
1996,4.445,3.587,7.049,3.838,6.156
1997,4.716,3.608,5.670,3.949,5.315
1998,4.763,2.667,5.816,3.626,5.171
1999,4.697,3.467,5.864,4.249,5.377
2000,5.059,3.025,6.152,3.946,6.031
2001,4.597,3.363,5.672,3.811,5.248
2002,4.803,3.872,5.795,4.264,5.155
2003,4.671,3.548,6.269,3.816,5.596
2004,4.557,3.128,5.944,3.556,5.429
2005,4.701,2.901,7.065,3.767,5.806
