year,median,min,max,p10,p90
1950,3011.146,2706.854,3549.864,2796.998,3272.547
1951,3001.784,2662.805,3456.434,2819.162,3245.688
1952,3098.773,2683.927,3410.425,2864.706,3252.746
1953,3022.870,2720.735,3423.340,2836.035,3165.444
1954,3011.862,2635.249,3248.297,2798.301,3184.645
1955,2990.486,2765.872,3383.860,2845.617,3262.229
1956,3027.756,2821.568,3401.340,2908.662,3167.289
1957,3042.718,2695.688,3405.244,2788.885,3228.864
1958,3060.250,2733.009,3441.096,2764.485,3349.538
1959,3047.129,2728.628,3268.599,2839.612,3258.064
1960,3067.551,2735.311,3445.831,2851.269,3252.355
1961,2968.994,2681.163,3252.883,2726.224,3226.694
1962,3009.084,2742.209,3236.521,2833.237,3165.736
1963,2996.979,2452.472,3308.752,2705.811,3206.924
1964,3116.406,2871.077,3494.735,3000.124,3348.864
1965,3082.992,2697.722,3562.455,2863.894,3273.351
1966,3123.593,2941.661,3436.729,3003.032,3307.540
1967,3088.764,2587.417,3582.123,2879.888,3447.935
1968,3156.043,2794.007,3612.448,3009.418,3380.546
1969,3112.473,2649.718,3353.688,2853.241,3262.490
1970,3073.408,2621.436,3551.391,2777.032,3343.377
1971,3045.466,2737.175,3586.169,2755.651,3247.861
1972,3088.332,2762.640,3574.035,2927.768,3364.248
1973,3019.599,2755.157,3353.535,2883.989,3275.323
1974,3100.894,2766.402,3704.862,2867.227,3365.636
1975,2978.961,2738.769,3321.425,2766.498,3269.624
1976,3031.227,2622.641,3415.514,2786.027,3358.382
1977,3017.091,2624.443,3137.194,2747.734,3104.163
1978,2937.628,2692.712,3441.098,2754.326,3253.095
1979,3004.926,2557.908,3596.915,2716.137,3175.490
1980,2976.300,2676.777,3429.602,2792.429,3342.966
1981,3071.807,2578.927,3340.542,2766.443,3240.323
1982,3050.542,2764.177,3368.370,2848.419,3214.681
1983,2990.216,2845.631,3454.669,2857.491,3259.987
1984,2982.696,2734.348,3354.279,2810.358,3292.762
1985,2999.354,2785.552,3381.898,2810.467,3167.635
1986,2878.590,2702.264,3305.377,2721.872,3151.469
1987,2978.907,2556.613,3246.195,2750.686,3162.580
1988,2895.999,2597.602,3283.294,2720.486,3155.294
1989,2920.391,2653.245,3271.151,2702.463,3137.978
1990,2932.267,2663.584,3250.716,2715.135,3150.143
1991,2854.902,2550.092,3266.074,2653.690,3069.307
1992,2993.865,2597.088,3325.563,2685.282,3223.276
1993,3003.272,2578.179,3359.178,2691.059,3208.299
1994,3012.655,2637.605,3376.848,2794.439,3123.934
1995,2902.745,2484.906,3514.876,2772.084,3316.611
1996,2987.822,2555.181,3277.018,2663.177,3146.091
1997,2873.963,2467.622,3286.927,2604.020,3174.820
1998,2790.519,2524.322,3205.269,2679.672,3018.295
1999,2886.017,2597.302,3143.917,2704.960,3039.082
2000,2879.859,2350.682,3061.788,2741.985,2969.286
2001,2884.951,2644.767,3118.445,2692.700,3001.359
2002,2786.971,2365.636,3080.099,2508.516,2978.069
2003,2823.140,2346.725,3367.281,2665.031,3078.706
2004,2804.818,2537.813,3281.671,2592.212,3134.117
