year,median,min,max,p10,p90
1950,0.076,0.000,4.894,0.000,2.268
1951,0.312,0.000,3.544,0.000,2.086
1952,0.161,0.000,3.007,0.000,1.421
1953,0.390,0.000,1.961,0.000,1.441
1954,0.656,0.000,3.300,0.000,1.488
1955,0.000,0.000,3.945,0.000,2.027
1956,0.331,0.000,4.192,0.000,3.471
1957,0.208,0.000,3.691,0.000,2.159
1958,0.014,0.000,2.394,0.000,1.793
1959,0.021,0.000,3.445,0.000,1.836
1960,0.021,0.000,1.711,0.000,1.014
1961,0.174,0.000,2.326,0.000,1.640
1962,0.085,0.000,3.953,0.000,1.901
1963,0.000,0.000,1.909,0.000,0.984
1964,0.014,0.000,2.465,0.000,1.820
1965,0.174,0.000,2.659,0.000,1.182
1966,0.154,0.000,1.967,0.000,0.828
1967,0.070,0.000,2.409,0.000,1.362
1968,0.076,0.000,1.170,0.000,0.838
1969,0.119,0.000,2.549,0.000,1.571
1970,0.076,0.000,1.486,0.000,0.941
1971,0.076,0.000,1.107,0.000,0.992
1972,0.244,0.000,2.628,0.000,2.064
1973,0.076,0.000,4.497,0.000,2.213
1974,0.367,0.000,2.848,0.000,0.972
1975,0.780,0.000,3.780,0.000,1.920
1976,0.460,0.000,3.179,0.000,1.643
1977,0.190,0.000,5.317,0.000,2.937
1978,0.450,0.000,1.946,0.000,1.552
1979,0.647,0.000,4.617,0.000,2.320
1980,0.076,0.000,4.256,0.000,1.320
1981,0.396,0.000,3.308,0.000,2.366
1982,0.085,0.000,4.957,0.000,2.229
1983,0.098,0.000,1.427,0.000,0.787
1984,0.242,0.000,5.015,0.000,3.610
1985,0.617,0.000,4.013,0.000,3.091
1986,0.130,0.000,5.054,0.000,2.272
1987,0.654,0.000,4.320,0.000,2.264
1988,0.390,0.000,4.066,0.000,1.867
1989,0.518,0.000,2.948,0.000,2.027
1990,0.085,0.000,3.839,0.000,2.201
1991,0.759,0.000,2.785,0.000,2.313
1992,0.388,0.000,4.055,0.000,2.276
1993,0.358,0.000,4.008,0.000,1.409
1994,0.174,0.000,3.469,0.000,0.726
1995,0.472,0.000,3.360,0.000,2.695
1996,0.742,0.000,6.909,0.000,2.971
1997,0.776,0.000,5.949,0.000,2.990
1998,0.990,0.000,5.090,0.000,3.166
1999,0.771,0.000,6.398,0.000,2.720
2000,0.905,0.000,6.471,0.000,5.135
2001,0.849,0.000,7.373,0.000,4.529
2002,1.306,0.000,6.875,0.000,2.884
2003,0.598,0.000,5.747,0.000,2.466
2004,0.330,0.000,5.306,0.000,3.107
