year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,16.900,8.207,21.948,11.765,20.267,14.804,6.182,24.354,8.722,21.296
2007,14.602,6.554,24.867,7.721,22.677,13.521,6.774,18.676,9.503,16.943
2008,14.641,7.063,27.144,9.198,20.693,13.614,6.307,21.977,7.723,20.388
2009,13.134,5.725,19.174,9.528,16.901,15.042,5.603,25.551,7.201,18.829
2010,13.081,7.654,24.587,8.784,20.247,12.682,7.244,27.442,9.943,21.257
2011,14.032,7.532,19.346,10.287,17.710,12.780,5.228,23.432,8.152,20.409
2012,14.746,5.874,27.242,10.292,20.091,15.941,6.819,26.795,9.260,19.228
2013,12.534,5.320,19.456,8.698,17.777,14.973,7.800,23.955,9.489,19.188
2014,12.671,4.051,23.123,8.411,21.226,14.785,10.311,21.488,10.380,18.870
2015,12.533,6.862,26.021,7.917,20.188,13.201,6.615,25.461,7.377,21.132
2016,16.930,9.862,23.162,11.056,21.420,14.459,7.586,21.414,8.767,19.491
2017,14.611,8.435,22.760,9.000,21.115,12.944,4.766,26.908,7.401,20.777
2018,13.968,4.399,31.581,9.790,24.780,14.959,5.503,25.312,6.829,17.787
2019,15.023,7.646,28.108,10.998,18.054,14.097,9.392,20.983,10.005,20.489
2020,13.195,8.574,21.789,10.013,21.497,13.674,5.830,21.912,8.137,19.431
2021,14.232,5.185,20.864,6.958,17.102,14.705,4.166,21.432,7.937,19.089
2022,16.003,6.269,28.753,7.961,25.325,13.496,5.341,24.004,8.043,18.437
2023,15.814,8.232,23.722,10.927,20.858,14.627,7.287,23.184,8.416,18.888
2024,14.355,7.272,23.140,9.090,20.458,15.080,8.141,32.346,11.168,26.874
2025,15.692,7.889,24.338,10.487,22.098,15.843,6.875,25.053,8.914,21.249
2026,13.722,9.768,22.925,11.282,19.040,15.137,7.041,28.067,9.907,22.237
2027,13.730,7.098,24.067,7.535,20.413,14.982,9.383,27.578,9.994,22.041
2028,15.116,6.655,24.325,10.958,19.947,14.094,8.209,25.922,11.137,19.125
2029,15.152,7.519,28.157,9.882,20.477,14.154,9.791,25.698,11.055,23.155
2030,14.801,5.591,22.701,9.277,21.198,14.173,6.207,26.602,8.782,19.959
2031,14.557,9.474,27.697,11.100,19.140,13.716,8.377,25.284,9.330,20.409
2032,13.729,5.309,25.637,9.286,21.280,14.180,6.103,22.782,7.275,19.080
2033,17.373,5.945,24.529,7.981,21.510,12.842,6.797,25.307,10.281,18.176
2034,15.386,11.132,24.751,11.861,19.503,15.177,7.507,25.924,9.600,17.941
2035,16.222,7.063,21.268,10.690,20.346,14.550,8.295,24.594,8.524,20.677
2036,14.975,7.621,23.261,9.769,22.034,13.642,6.045,23.038,8.224,19.756
2037,14.080,3.020,27.548,9.798,19.547,13.758,7.044,22.820,9.761,22.037
2038,14.586,6.083,22.794,9.950,20.866,14.365,6.277,19.428,10.574,18.241
2039,16.115,9.321,27.374,11.319,19.369,14.152,6.021,27.397,8.595,19.516
2040,14.922,6.152,23.215,10.258,22.271,14.248,6.029,32.748,8.649,23.501
2041,15.107,4.095,21.949,7.999,20.084,15.277,7.858,24.593,10.076,19.575
2042,13.241,6.592,19.604,8.014,18.617,14.476,7.258,29.529,8.382,20.576
2043,13.795,5.769,20.758,5.938,17.857,15.230,6.443,27.989,7.954,22.322
2044,14.892,7.003,35.021,8.379,23.870,13.937,8.551,21.822,10.538,17.704
2045,12.882,5.857,24.475,9.799,21.227,16.973,8.698,26.461,11.200,20.452
2046,14.423,8.268,25.337,10.177,23.254,15.812,5.036,22.651,10.412,21.600
2047,16.547,7.619,24.462,9.675,21.323,15.323,4.718,26.546,10.523,21.668
2048,16.325,5.040,22.953,11.439,19.145,16.233,10.058,28.099,11.821,23.053
2049,16.318,7.741,23.069,11.025,22.143,14.929,6.678,28.587,7.358,19.437
2050,17.189,3.471,24.455,8.490,23.987,14.605,5.203,25.704,9.620,22.380
2051,14.123,10.111,21.551,10.662,18.408,16.337,8.970,23.180,12.273,20.447
2052,15.627,9.868,24.542,12.279,22.860,18.306,11.004,34.378,14.022,21.159
2053,15.609,6.352,23.550,8.230,18.881,12.770,7.750,21.087,9.355,17.042
2054,16.611,7.009,24.532,10.040,23.169,15.889,7.981,24.672,9.493,22.132
2055,14.323,6.818,27.612,10.675,22.994,15.442,6.604,20.519,9.442,18.697
2056,14.859,8.216,21.946,10.350,20.414,16.895,6.175,25.042,9.252,22.282
2057,16.533,9.559,25.987,11.876,22.425,15.905,5.429,25.317,8.815,25.193
2058,13.680,4.795,27.402,8.873,22.469,13.704,6.984,29.251,8.708,24.395
2059,14.679,9.145,22.010,11.729,21.404,18.808,8.481,28.154,13.447,22.971
