year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,84.351,33.948,180.658,51.856,143.557,90.226,27.971,159.902,65.461,111.062
2007,85.490,42.605,171.531,46.541,143.278,105.763,40.766,226.517,43.062,142.102
2008,87.306,27.140,231.607,43.423,147.220,86.959,49.723,228.186,69.052,138.837
2009,94.812,35.675,166.854,74.641,131.955,92.816,40.681,154.503,51.508,128.923
2010,97.397,42.768,192.587,51.623,139.348,89.551,38.100,205.769,51.914,139.815
2011,86.001,28.674,150.207,48.333,141.234,104.778,39.703,211.849,60.198,124.098
2012,96.544,33.832,170.977,51.505,152.292,110.006,27.426,187.202,62.829,163.211
2013,89.232,38.466,174.192,44.598,122.746,90.525,38.535,191.539,74.314,141.073
2014,111.068,46.781,217.625,53.650,181.186,104.869,23.234,203.296,73.331,147.382
2015,103.207,36.160,181.150,52.996,151.885,127.125,35.910,203.142,85.234,185.799
2016,90.950,55.425,154.049,72.831,127.663,106.169,41.476,258.310,60.561,148.999
2017,92.422,30.707,184.472,56.795,144.820,118.830,63.692,189.542,73.955,160.778
2018,118.924,50.701,210.852,56.285,189.508,94.947,52.445,175.790,68.600,138.878
2019,90.428,53.687,163.966,69.008,142.881,107.029,47.563,146.141,66.189,131.828
2020,88.522,35.788,192.924,52.666,138.090,127.169,42.922,251.141,65.903,171.413
2021,98.659,46.684,204.043,65.702,153.227,101.676,35.887,198.680,58.872,168.838
2022,111.489,59.578,168.519,80.160,157.961,100.583,38.703,205.287,58.121,158.217
2023,102.267,42.787,184.853,65.099,159.194,130.509,89.113,206.271,95.812,193.590
2024,106.784,44.946,173.477,66.540,166.947,121.073,68.197,314.421,80.344,158.522
2025,124.135,58.249,234.118,67.639,195.602,120.448,46.157,233.963,87.951,204.957
2026,132.269,45.437,270.113,67.563,247.105,143.109,61.005,208.532,98.098,181.884
2027,115.559,61.420,193.650,65.117,168.572,161.501,60.212,208.776,92.962,199.976
2028,101.750,47.890,170.496,58.656,149.875,127.861,45.106,241.994,76.718,195.626
2029,139.634,78.663,241.518,92.138,187.169,141.364,78.665,261.667,90.661,210.824
2030,119.157,70.318,303.049,72.479,198.396,135.164,88.974,355.398,101.578,197.378
2031,116.027,57.866,199.022,64.788,176.813,149.642,51.367,213.798,98.830,189.292
