year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,4.968,3.750,5.963,4.017,5.936,4.639,3.542,6.276,3.868,5.874
2007,4.733,3.236,6.395,3.691,5.909,4.688,3.404,5.778,3.762,5.343
2008,4.468,3.125,6.200,3.284,5.780,4.390,2.988,6.109,3.172,5.851
2009,4.451,2.589,5.616,3.763,5.035,4.680,3.452,6.411,4.257,5.669
2010,4.499,3.086,5.835,3.629,5.686,4.456,3.202,6.784,3.892,5.348
2011,4.762,3.538,6.081,3.942,5.535,4.601,2.841,6.323,3.830,5.560
2012,4.679,3.210,6.859,3.931,5.660,4.865,3.526,6.269,4.260,6.226
2013,4.355,3.259,5.489,3.352,5.100,4.772,3.083,5.776,4.101,5.375
2014,4.642,2.729,6.064,3.658,5.878,4.603,3.806,5.776,3.971,5.438
2015,4.472,3.524,6.664,3.759,5.568,4.209,3.090,6.554,3.559,5.221
2016,5.269,3.962,6.086,4.259,5.867,4.716,3.593,5.786,4.139,5.428
2017,4.580,3.213,6.523,3.808,6.085,4.721,2.921,6.652,3.701,5.373
2018,4.698,3.364,6.985,3.708,5.860,4.523,3.338,6.313,3.521,5.491
2019,4.709,3.036,6.556,4.034,5.434,4.484,3.374,6.625,4.027,5.507
2020,4.592,3.802,6.007,3.962,5.690,4.275,3.303,5.753,3.752,5.424
2021,4.645,3.114,5.942,3.260,5.433,4.785,2.811,6.061,3.456,5.178
2022,4.965,3.148,6.438,3.791,5.978,4.605,2.730,5.863,3.638,5.342
2023,4.991,3.749,6.202,4.034,5.556,4.608,3.201,5.807,3.586,5.481
2024,4.807,3.492,6.481,3.721,5.300,4.702,3.687,7.701,4.047,6.302
2025,4.929,3.276,6.532,4.014,5.498,4.798,3.407,6.142,3.710,5.721
2026,4.645,3.527,6.016,3.895,5.346,4.741,3.638,6.829,4.139,5.809
2027,4.480,3.186,5.903,3.714,5.553,4.797,3.416,6.589,3.851,5.904
2028,4.815,3.876,6.405,3.973,5.501,4.629,3.107,7.042,4.190,5.586
2029,4.816,3.086,6.908,3.771,5.384,4.715,4.106,6.436,4.307,6.044
2030,4.887,3.218,6.164,3.568,5.470,4.563,2.802,6.147,3.742,5.662
2031,4.589,4.193,5.957,4.306,5.395,4.732,3.454,6.450,3.643,5.604
2032,4.507,3.361,7.127,3.607,5.790,4.646,3.052,5.847,3.917,5.492
2033,4.808,3.335,6.514,3.577,5.958,4.403,3.665,6.601,4.015,5.465
2034,4.910,3.566,5.879,3.978,5.485,4.524,3.128,6.373,3.740,5.437
2035,4.830,3.486,6.077,3.980,5.956,4.520,3.460,6.291,3.543,5.782
2036,4.766,3.317,5.932,3.613,5.819,4.688,3.392,5.903,4.158,5.557
2037,4.673,2.687,7.168,3.725,5.304,4.551,3.723,6.250,3.985,5.877
2038,5.103,3.344,6.068,3.959,5.660,4.579,3.705,5.545,4.191,5.084
2039,4.918,3.475,6.287,4.097,5.362,4.622,3.112,6.171,3.905,5.701
2040,4.643,2.696,5.982,3.940,5.869,4.763,2.793,7.109,3.566,6.192
2041,4.794,2.788,6.763,3.445,5.548,4.757,3.633,6.224,3.780,5.641
2042,4.525,3.093,5.655,3.619,5.398,4.766,3.342,6.860,3.627,5.799
2043,4.582,2.820,6.115,2.919,5.116,4.881,3.194,7.121,3.785,6.207
2044,4.848,3.202,7.100,3.968,6.200,4.693,4.086,5.851,4.271,5.260
2045,4.567,2.731,6.432,3.541,5.561,4.748,3.701,6.320,4.023,5.926
2046,4.723,3.599,6.036,3.743,5.988,4.934,2.976,5.973,3.751,5.859
2047,4.744,3.457,6.097,3.917,5.661,4.749,2.745,6.338,3.824,5.964
2048,4.915,3.063,6.368,3.892,5.342,4.710,3.454,6.736,4.096,5.761
2049,4.882,3.408,6.056,3.946,5.927,4.717,3.204,7.184,3.387,5.584
2050,4.953,2.809,6.193,3.517,5.977,4.748,3.232,6.665,3.810,5.693
2051,4.429,3.655,6.276,3.985,5.318,4.962,3.339,5.969,4.272,5.656
2052,4.846,4.061,6.192,4.189,5.810,5.318,3.791,7.576,4.219,5.887
2053,4.656,3.218,5.997,3.613,5.643,4.442,3.339,5.728,3.659,5.245
2054,5.105,3.323,6.395,3.862,6.021,4.761,3.812,6.089,4.010,5.827
2055,4.748,3.487,6.532,4.042,5.891,4.743,3.335,5.587,3.947,5.372
2056,4.640,3.283,5.903,3.717,5.609,4.802,3.156,5.847,3.474,5.573
2057,4.831,3.292,6.018,3.931,5.672,4.882,2.999,6.354,3.335,5.979
2058,4.569,2.768,6.613,3.413,5.850,4.580,3.093,6.993,3.912,5.973
2059,4.705,3.701,6.127,3.993,5.904,5.268,3.200,6.605,4.052,6.073
2060,4.746,3.022,5.991,3.791,5.622,4.591,3.815,6.620,4.006,6.092
2061,4.988,3.082,5.576,4.533,5.511,4.996,3.950,7.249,4.309,5.822
2062,4.735,3.067,7.231,3.942,5.886,4.353,3.140,6.732,3.897,6.264
2063,5.010,3.737,7.319,4.140,6.304,4.764,2.841,6.514,4.123,6.042
2064,4.683,3.318,6.262,4.177,5.307,4.716,2.622,6.509,3.416,5.967
2065,4.861,3.426,6.031,4.010,5.688,4.551,2.921,6.446,3.308,6.196
2066,5.120,3.737,6.931,3.991,6.057,4.684,3.413,6.413,3.601,6.039
2067,4.322,2.579,5.851,3.613,5.632,4.492,3.031,6.393,3.305,5.547
2068,4.436,3.232,5.693,3.806,5.072,5.042,3.353,7.115,3.776,5.800
2069,5.047,3.642,5.716,3.881,5.689,4.673,3.573,6.607,4.048,5.816
2070,4.740,3.082,6.741,3.762,5.371,5.154,3.305,6.415,3.590,5.792
2071,4.577,2.916,5.901,3.624,5.510,5.286,3.284,6.784,4.102,6.331
2072,4.492,2.851,6.205,3.526,5.167,4.827,2.872,7.089,3.964,6.051
2073,4.525,2.637,5.444,3.747,5.276,4.933,3.024,6.691,3.839,5.815
2074,4.979,4.007,6.082,4.197,5.530,4.761,3.451,6.093,3.930,5.595
2075,4.516,3.832,5.776,3.983,5.287,4.908,2.543,6.713,4.311,6.194
2076,4.881,3.459,5.861,3.711,5.395,5.057,3.519,8.694,4.451,6.138
2077,5.049,3.421,6.166,3.812,5.599,4.967,2.907,6.789,4.190,6.158
2078,4.756,3.800,7.131,3.920,5.721,5.264,2.897,6.873,4.014,6.142
2079,4.621,3.032,5.970,3.819,5.479,5.331,3.568,8.126,4.136,6.241
2080,4.441,2.352,5.900,3.386,5.673,4.697,3.819,6.420,4.240,5.954
2081,4.901,3.831,6.897,4.185,5.795,4.840,2.785,6.558,3.743,5.897
2082,5.008,3.825,6.511,4.224,5.960,4.896,3.110,7.155,4.259,6.157
2083,4.990,3.822,6.913,4.046,6.201,4.970,3.088,6.961,3.890,5.735
2084,4.782,3.542,6.092,3.858,5.840,4.783,3.281,6.399,4.087,6.037
2085,4.859,3.411,6.640,3.607,6.117,4.643,3.478,5.725,3.745,5.485
2086,4.832,3.978,6.012,4.035,5.550,5.010,3.244,6.373,3.784,5.890
2087,4.979,3.170,6.845,3.572,6.234,4.888,3.234,6.265,3.583,5.795
2088,4.730,3.532,7.226,4.102,5.632,4.912,3.406,6.841,3.870,5.917
2089,4.785,3.349,5.573,3.874,5.330,4.935,3.230,6.957,3.772,5.793
2090,4.867,3.800,8.291,4.427,5.677,5.113,3.525,7.270,4.313,6.450
2091,5.012,3.443,6.630,3.803,6.226,4.829,3.690,6.531,4.046,6.003
2092,4.998,3.371,6.249,4.145,5.707,5.226,2.596,7.208,4.242,6.871
2093,5.344,3.655,7.212,4.270,6.127,4.835,2.865,6.508,3.507,6.252
2094,4.599,3.861,6.258,4.006,5.674,4.833,3.289,7.375,3.882,6.727
2095,4.690,3.426,5.698,4.064,5.303,4.822,3.320,6.241,3.997,5.715
2096,4.811,3.209,6.362,4.084,5.527,4.774,2.543,5.964,3.530,5.645
2097,4.832,3.681,6.935,3.962,5.814,4.711,2.759,7.103,3.317,6.460
2098,4.684,3.772,6.372,3.974,5.959,4.844,3.014,6.362,4.119,5.801
2099,4.433,3.054,6.730,3.371,6.132,4.936,3.978,7.049,4.377,5.958
