month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,10.454,9.710,9.060,9.335,10.206,10.428,9.681,8.675,9.330,10.352,11.249,10.527,9.232,9.519,10.866,11.740,10.635,9.736,10.153,11.406,11.380,10.939,9.336,9.753,11.326,12.947,11.943,9.850,11.125,12.529
4,20.279,19.950,18.746,19.204,20.237,20.445,19.957,19.013,19.330,20.307,21.338,20.654,19.344,19.811,21.061,22.071,21.211,19.658,20.345,21.522,21.961,21.151,19.669,20.026,21.527,23.759,22.485,20.313,21.007,23.089
7,29.316,28.879,28.016,28.297,29.193,29.706,29.001,28.043,28.223,29.583,30.684,29.802,28.315,28.765,30.222,31.507,30.307,29.093,29.491,31.116,31.390,30.269,28.826,29.304,30.902,33.398,32.020,30.201,30.631,33.102
10,21.364,20.743,19.221,20.233,21.143,21.244,20.953,19.408,20.268,21.185,22.053,21.571,19.861,20.826,21.962,22.669,22.001,20.504,21.135,22.530,22.907,21.874,20.321,21.124,22.540,24.414,23.719,21.260,22.684,24.356
