month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,-1.478,-2.254,-2.962,-2.688,-1.746,-1.491,-2.099,-2.991,-2.743,-1.621,-0.648,-1.527,-2.418,-2.257,-0.940,-0.159,-1.198,-2.164,-1.716,-0.171,0.031,-1.137,-2.155,-1.970,-0.507,1.576,-0.025,-1.469,-0.849,0.722
4,6.529,6.004,5.260,5.550,6.449,6.681,6.106,5.464,5.552,6.468,7.641,6.793,5.748,6.108,7.148,8.274,7.339,6.122,6.491,7.838,8.295,7.205,6.043,6.296,7.861,9.852,8.504,6.803,7.678,9.481
7,16.665,16.153,15.415,15.721,16.465,16.888,16.317,15.412,15.754,16.695,17.658,16.855,15.657,16.284,17.310,18.472,17.522,16.292,16.863,18.260,18.178,17.306,16.148,16.606,18.016,20.470,19.234,17.407,18.005,20.196
10,8.045,7.227,6.144,6.724,7.945,7.898,7.448,6.574,6.760,7.850,9.169,8.010,6.778,7.632,8.520,9.484,8.514,7.416,7.868,9.276,9.328,8.359,7.244,7.538,9.156,11.497,10.112,8.566,8.936,11.066
