month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,3.887,3.492,3.087,3.316,3.831,4.040,3.536,2.990,3.241,3.752,3.942,3.643,3.300,3.374,3.913,4.163,3.683,2.945,3.432,4.108,4.129,3.687,3.218,3.403,3.971,4.534,3.753,2.570,3.469,4.212
4,4.275,3.828,3.469,3.601,3.956,4.404,3.907,3.330,3.581,4.166,4.278,3.944,3.406,3.596,4.201,4.466,4.004,3.322,3.496,4.236,4.636,3.960,3.471,3.564,4.399,4.766,4.117,3.263,3.597,4.669
7,4.254,3.880,3.424,3.539,4.072,4.231,3.797,3.379,3.494,4.183,4.373,3.893,2.962,3.528,4.180,4.641,3.813,3.111,3.325,4.377,4.576,3.903,3.176,3.544,4.347,4.632,4.026,3.012,3.276,4.406
10,3.764,3.354,2.606,2.857,3.683,3.661,3.276,2.801,2.815,3.590,3.877,3.410,2.892,3.167,3.691,3.927,3.452,2.654,3.115,3.750,3.998,3.417,2.867,3.001,3.782,4.148,3.438,2.439,3.175,3.814
