month,mean30,max,median,min,p10,p90
1,-3.928,0.184,-3.120,-7.075,-5.383,-1.388
4,4.713,8.055,5.090,2.218,3.942,6.001
7,14.658,16.728,15.004,13.409,14.105,15.893
10,5.977,9.215,6.061,3.364,4.563,7.302
