month,mean30,max,median,min,p10,p90
1,3.092,6.078,3.106,1.187,2.289,4.536
4,3.712,5.715,3.602,1.900,2.692,4.919
7,3.740,7.629,3.675,2.077,2.653,5.457
10,3.223,8.194,2.911,1.448,1.960,4.821
